rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R3,11.2,"The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",0.4924
R4,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5216
R4,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.5211
R4,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.5100
R4,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.5061
R4,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5016
R5,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.5669
R5,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5449
R5,1.3__1,"‘Personal Data’ shall mean any information Processed by Processor in connection with the provision of the Processors’ Services under this Agreement relating to an identified or identifiable natural person ('Data Subject'); an identifiable person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to his physical, physiological, genetic, mental, economic, cultural or social identity of that person;",0.5384
R5,3.1__2,The Personal Data Processed may fall within any of the following categories of data.,0.5255
R5,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.5074
R6,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5660
R6,3.1__2,The Personal Data Processed may fall within any of the following categories of data.,0.5611
R6,2.1__2,"The Controller will import Personal Data to the Services for Processing by Processor that may concern any of the following categories of Data Subjects, including but not limited to:",0.5594
R6,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.5430
R6,1.3__1,"‘Personal Data’ shall mean any information Processed by Processor in connection with the provision of the Processors’ Services under this Agreement relating to an identified or identifiable natural person ('Data Subject'); an identifiable person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to his physical, physiological, genetic, mental, economic, cultural or social identity of that person;",0.5026
R7,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6098
R7,7.1_v,a general description of the technical and organisational security measures as referred to in Appendix 2 and subsequent amendments thereto.,0.5711
R7,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.5640
R7,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5482
R7,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.5473
R8,6.2_main,The aforementioned notification shall describe the nature of the Personal Data Breach including where possible:,0.7132
R8,6.2_ii,the likely consequences of the Personal Data Breach;,0.6004
R8,6.2_i,the (estimated) time of the Personal Data Breach;,0.5863
R8,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.5572
R8,5.9,to notify Controller in the event of a Personal Data Breach as set out in clause 6 of this Agreement;,0.5424
R9,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.5311
R9,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.4950
R9,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.4572
R9,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.4524
R9,7.1_main,"The Processor shall maintain, in written and electronic form, records of all categories of Processing activities carried out on behalf of the Controller according to the Main Agreement, containing:",0.4503
R10,10.1_main,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",0.7109
R10,10.2,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",0.6190
R10,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.6140
R10,3.1__3,"If the Controller and the Processor has entered into a Consultancy Agreement as part of the Main Agreement, the Processor may engage Sub- processors for the provision of the consultancy Services to the Controller.",0.6078
R10,1.5,'Sub-processor' shall mean any processor engaged by the Processor for the Processing of Personal Data on behalf of the Controller.,0.6033
R11,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.7657
R11,3.2__3,If the Processor uses one or more Sub-processors for the provision of consultancy Services this is regulated in detail in the Main Agreement (Consultancy Agreement). The Processor will notify the Controller in accordance with clause 10.3 of the Agreement if changes in the Sub- processors applied for the provision of the consultancy Services are made.,0.5798
R11,10.5,"If the Controller requests the Processor to document its Sub-Processor’s compliance with the obligations laid down in Article 28 of the GDPR the Processor shall be entitled to fulfil this obligation by referring Controller to the relevant audit reports or similar documentation made available by the respective Sub-Processors with information indicating that the Sub-Processor in question complies with the GDPR, provided that such audit report(s) or similar documentation shall be based on applicable, acknowledged audit standards, e.g. ISAE 3000 or 3402, ISO 27001 or similar standards. Any additional audit reporting or additional other similar documentation requested by the Controller will be at the Controller’s cost and expenses and is charged under the conditions set out in Appendix 3. 11. Change of instructions",0.5617
R11,3.1__3,"If the Controller and the Processor has entered into a Consultancy Agreement as part of the Main Agreement, the Processor may engage Sub- processors for the provision of the consultancy Services to the Controller.",0.5572
R11,10.1_main,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",0.5540
R12,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.7171
R12,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6865
R12,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6823
R12,12.3,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,0.6105
R12,4.1,To ensure that the Personal Data collected by Controller is done in accordance with the relevant provisions of the GDPR and other applicable EU and national data protection law in the Member State in which the Controller is established (and where applicable has been notified to the relevant authorities of that Member State) and does not violate the relevant provisions of that Member State. 5. General obligations of the Processor The Processor agrees:,0.5918
R13,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6360
R13,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6142
R13,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.5937
R13,11.2,"The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",0.5497
R13,12.3,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,0.5483
R14,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.6282
R14,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.6102
R14,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6072
R14,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.5740
R14,11.2,"The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",0.5583
R15,12.3,Processor ensures that persons authorised to process the Personal Data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality.,0.8201
R15,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6539
R15,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.5922
R15,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.5823
R15,10.2,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",0.5774
R16,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6144
R16,3.4__1,"If the Controller after the conclusion of this Agreement based on its own security and risk assessment requests that the Processor shall implement additional security measures or other technical or organisational measures than agreed to in Appendix 2, such request shall be handled in accordance with and is subject to clause 11 of this Agreement. 4. Obligations of the Controller The Controller agrees:",0.5858
R16,3.2__1,"The details of the security measures taken by Processor in this respect of the Processing of Personal Data, are specified in Appendix 2, which forms an integral part of the Agreement.",0.5782
R16,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.5594
R16,3.3__1,The Parties agree that the technical and organisational measures and level of security set out in Appendix 2 are sufficient to comply with the Processor’s obligations set lout in this clause 3 at the time of the conclusion of this Agreement.,0.5539
R17,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.6963
R17,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.6507
R17,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.6444
R17,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6217
R17,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.5673
R18,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6051
R18,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.5931
R18,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.5818
R18,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.5800
R18,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.5771
R19,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6604
R19,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.6102
R19,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.5915
R19,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.5790
R19,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.5555
R20,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.7320
R20,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.7129
R20,5.9,to notify Controller in the event of a Personal Data Breach as set out in clause 6 of this Agreement;,0.6069
R20,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.6031
R20,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.6025
R21,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.6889
R21,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.6746
R21,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.5799
R21,5.9,to notify Controller in the event of a Personal Data Breach as set out in clause 6 of this Agreement;,0.5758
R21,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.5704
R22,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.7398
R22,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.5935
R22,5.6,"to cooperate (including representatives of Processor), on the Controller’s request, with the supervisory authority in the performance of its tasks;",0.5838
R22,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.5681
R22,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.5642
R23,9.1,"Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement. Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.",0.7336
R23,9.3,If Controller requests the Processor’s assistance to delete and/or return (i.e. export) the Controller’s data including the Personal Data during and upon the expiry of the Agreement such assistance shall be rendered by Processor at Controller’s expense and is charged under the conditions set out in Appendix 4. 10. Sub-processing,0.6392
R23,1.2__3_30__2,days after deletion. III. Deletion or export of data upon Controller’s request The Controller may at any time request the Processor’s assistance to perform deletion or export of data subject to separate payment for these services at an hourly rate of 150 Euro. Upon receipt of such written request the Processor will within a maximum of five,0.6136
R23,9.2,"The process and timeframes for deletion of Controller’s data including the Personal Data is described in Appendix 4, which forms an integral part of the Agreement.",0.5972
R23,1.2__3_main,payment of reasonable costs and expenses incurred during the course of providing a task or otherwise as a necessary part of such task or other assistance. 2. All costs and expenses of audits or inspections required and conducted by the Controller or its representatives in respect of the Processor’s or the Processor’s Sub-processors’ compliance with article 28 of the GDPR shall be borne solely by Controller unless otherwise specifically follows from the Agreement. Appendix 4 Deletion of data This Appendix forms part of the Agreement. Data deletion The Processor operates with different timeframes of deletion of the Controller’s data depending on the circumstances. These are described below. I. The Controller deletes data during the term of the Agreement During the term of the Agreement the Controller can delete its data in three,0.5903
R24,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.6917
R24,5.10,"To notify Controller in the event that a supervisory authority contacts Processor, insofar as permitted by law. 6. Personal Data breach",0.6497
R24,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.6087
R24,11.2,"The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",0.6071
R24,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.6031
