rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R19,main_5.5.1,"If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",0.6810
R2,main_11.1,The contact information for the Data Processor and the Data Controller is provided in the Main Agreement..,0.5318
R22,main_5.5.1,"If the Data Processor’s assistance is necessary and relevant, the Data Processor shall assist the Data Controller in preparing data protection impact assessments in accordance with GDPR, article 35, along with any prior consultation in accordance with GDPR, article 36.",0.7844
R22,main_5.6.1,"If the Data Controller receives a request from a data subject for the exercise of the data subject’s rights under the Applicable Law and the correct and legitimate reply to such a request necessitates the Data Processor’s assistance, the Data Processor shall assist the Data Controller by providing the necessary information and documentation. The Data Processor shall be given reasonable time to assist the Data Controller with such requests in accordance with the Applicable Law.",0.6527
R23,main_10.3,"At the termination of this Data Processor Agreement, the Data Processor and its Sub- Processors shall return the Personal Data processed under this Data Processor Agreement to the Data Controller, provided that the Data Controller is not already in possession of the Personal Data. The Data Processor is hereafter obliged to delete all the Personal Data and provide documentation for such deletion to the Data Controller. 11. Contact",0.7064
R24,main_4.3,The Data Processor shall give notice without undue delay if the Data Processor considers the at the time being Instruction to be in conflict with the Applicable Law. 5. The data Processor’s obligations,0.6719
R25,main_5.8.1_i,the Data Processor complies with its obligations under this Data Processor Agreement and the Instruction; and,0.5180
R25,main_5.8.1_ii,the Data Processor complies with the Applicable Law in respect of the processing of the Data Controller’s Personal Data.,0.5506
R25,main_5.8.1_main,The Data Processor shall after the Data Controller’s written request hereof provide documentation substantiating that:,0.5875
R25,main_5.8.2,The Data Processor’s documentation of compliance shall be provided within reasonable time.,0.6012
R27,main_6.2,"The Data Processor shall conclude a written sub-processor agreement with any Sub-Processors. Such an agreement shall at minimum provide the same data protection obligations as the ones applicable to the Data Processor, including the obligations under this Data Processor Agreement. The Data Processor shall on an ongoing basis monitor and control its Sub- Processors’ compliance with the Applicable Law. Documentation of such monitoring and control shall be provided to the Data Controller if so requested in writing.",0.6418
R28,main_6.3,The Data Processor is accountable to the Data Controller for any Sub-Processor in the same way as for its own actions and omissions.,0.6547
R30,main_5.1.1,"The Data Processor shall treat all the Personal Data as strictly confidential information. The Personal Data may not be copied, transferred or otherwise processed in conflict with the Instruction, unless the Data Controller in writing has agreed hereto.",0.6279
R30,main_5.9.1,The Personal Data is only processed by the Data Processor at the Data Processor’s address. The Data Processor does not transfer the Personal Data to third countries or international organizations.,0.7939
R30,main_5.9.2,Any transfer of the Personal Data to any third countries or international organizations in the future shall only be done to the extent such transfer is permitted and done in accordance with the Applicable Law. 6. Sub-Processors,0.6191
R32,main_5.2.1,"The Data Processor shall implement the appropriate technical and organizational measures as set out in this Agreement and in the Applicable Law, including in accordance with GDPR, article 32.",0.7076
R33,main_4.1,The Data Processor may only act and process the Personal Data in accordance with the documented instruction from the Data Controller (the ”Instruction”). The Instruction at the time of entering into this Data Processor Agreement is that the Data Processor may only process the Personal Data with the purpose of delivering the Main Services as described in the Main Agreement.,0.6896
R33,main_5.1.1,"The Data Processor shall treat all the Personal Data as strictly confidential information. The Personal Data may not be copied, transferred or otherwise processed in conflict with the Instruction, unless the Data Controller in writing has agreed hereto.",0.5801
R33,main_5.4,The Data Processor shall also ensure that the Data Processor’s employees working processing the Personal Data only processes the Personal Data in accordance with the Instruction.,0.7379
R34,main_5.7.1,"The Data Processor shall give immediate notice to the Data Controller if a breach of the data security occurs, that can lead to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of or access to, personal data transmitted, stored or otherwise processed re the Personal Data processed on behalf of the Data Controller (a “Personal Data Breach”).",0.6501
R36,main_6.1_main,"The Data Processor is given general authorization to engage third-parties to process the Personal Data (“Sub-Processors”) without obtaining any further written, specific authorization from the Data Controller, provided that the Data Processor notifies the Data Controller in writing about the identity of a potential Sub-Processor (and its processors, if any) before any agreements are made with the relevant Sub-Processors and before the relevant Sub-Processor processes any of the Personal Data. If the Data Controller wish to object to the relevant Sub- Processor, the Data Controller shall give notice hereof in writing within seven",0.5028
R5,sub_a_1.1_i,Ordinary contact information on relevant employees from the Data Controller.,0.5651
R5,sub_a_1.1_ii,"Users of the Main Services: names, telephone numbers, e-mails and user type.",0.5085
R5,sub_a_1.1_iii,Personal data provided by the users in connection with their use of the Main Services (these personal data are not seen or accessed by the Data Processor unless the Data Processor after the request hereof from the Data Controller assists with support and bug fixing). 2. Categories of data subjects,0.4937
R5,sub_a_1.1_main,The Data Processor processes the following types of Personal Data in connection with its delivery of the Main Services:,0.5758
R6,sub_a_1.1_ii,"Users of the Main Services: names, telephone numbers, e-mails and user type.",0.4394
R6,sub_a_2.1_i,Customers,0.6287
R6,sub_a_2.1_ii,End-users,0.6131
R6,sub_a_2.1_main,The Data Processor processes Personal Data about the following categories of data subjects on behalf of the Data Controller:,0.6161
R7,main_5.2.1,"The Data Processor shall implement the appropriate technical and organizational measures as set out in this Agreement and in the Applicable Law, including in accordance with GDPR, article 32.",0.5861
R8,main_5.7.2_i,"A description of the nature of the Personal Data Breach, including, if possible, the categories and the approximate number of affected Data Subjects and the categories and the approximate number of affected registrations of personal data.",0.6571
R8,main_5.7.2_ii,A description of the likely as well as actually occurred consequences of the Personal Data Breach.,0.6931
R8,main_5.7.2_iii,"A description of the measures that the Data Processor has taken or proposes to take to address the Personal Data Breach, including, where appropriate, measures taken to mitigate its adverse effects.",0.7241
R8,main_5.7.2_main,The Data Processor shall have and maintain a register of all Personal Data Breaches. The register shall at a minimum include the following:,0.4792
