rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R18,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6275
R18,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5069
R19,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.8101
R2,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5156
R22,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.8665
R23,9.1,"Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement. Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.",0.7552
R24,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.7867
R25,7.1_iii,the categories of Processing carried out on behalf of the Controller;,0.4801
R25,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.7129
R26,5.5,to provide Controller upon request and within reasonable time the information necessary to demonstrate compliance with the obligations laid down in this clause 5;,0.4972
R26,5.7,"to allow for and contribute during normal business hours to reasonably necessary audits including inspections, conducted by an external qualified auditor mandated by the Controller, solely for the purpose of fulfilment of the Controller's obligations laid down in Article 28 of the GDPR and for accurately stipulated research questions in this connection provided that such external qualified auditor is subject to and bound by confidentiality obligations as stipulated in clause 12 of this Agreement;",0.8698
R26,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.6579
R27,10.2,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",0.7335
R28,10.2,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",0.6249
R28,10.4,Processor shall remain liable to the Controller for the performance of its Sub- processor's obligations.,0.9069
R29,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6345
R29,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5353
R29,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.6324
R3,14.5,"Notwithstanding termination of this Agreement according to this clause 14, the Agreement shall be force for as long as the Processor Processes Personal Data on behalf of the Controller for example in respect of the deletion processes described in Appendix 4. 15. Governing Law and amendments",0.5789
R30,1.2__2,"As part of the Main Agreement the Controller may also choose to use third party integration services and/or applications made available by the Processor on Processor.com in cooperation with the third party providers of such integration services and applications. If the Controller uses such third party integration services and/or applications it hereby authorises the Processor to: i) provide, transmit or transfer the data, including Personal Data, of the Controller to the third party provider of the relevant integration service and/or application, provided and only to the extent this is necessary for the performance and use by Controller of the said integration services and/or applications, and ii) Process data, including Personal Data, of the Controller that are transferred from the third party provider of the relevant integration service and/or application to the Controller’s Services with Processor.",0.5136
R30,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.7909
R32,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.8730
R32,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.6024
R32,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.6437
R32,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.8732
R32,5.1,to Process the Personal Data in accordance with the security measures set out in Appendix 2;,0.5486
R33,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.8136
R33,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.8107
R33,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.8067
R34,5.9,to notify Controller in the event of a Personal Data Breach as set out in clause 6 of this Agreement;,0.6058
R34,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.8276
R35,13.3,"The Processor shall not be liable for loss or damages if caused by the Controller’s failure to comply with its obligations according to applicable EU or national data protection laws and regulations or this Agreement. Nor shall the Processor be liable for loss or damages in the event of the Controller’s breach of the Main Agreement and/or other agreement between the Parties involving Processing of Personal Data, or the Controller’s failure to comply with its obligations towards a supervisory authority, or for penalties imposed by a supervisory authority due to the Controller’s breach or failure to comply.",0.6778
R36,10.1_main,"The Processor shall not engage a Sub-processor, unless this is approved by the Controller by",0.4643
R36,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.6945
R38,11.2,"The Processor shall use reasonable endeavours to comply with any legislative changes. However, the Processor shall not be obligated to implement any change of the instructions if the Parties cannot in good faith agree to reasonable terms for the implementation. If the Parties fail to agree in good faith to reasonable terms regarding change of the instructions each Party shall be entitled to terminate this Agreement with a written notice of 60 days, provided that such changes are deemed necessary to comply with the GDPR or other applicable EU or national data protection laws and regulation. The Main Agreement and any other agreement between the Parties involving Processing of Personal Data shall automatically terminate at the same time.",0.6188
R4,1.1.1,Provision of various online data processing Services including among others a survey and reporting tool via software solutions and platform made available from Processor.com.,0.4034
R4,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5386
R5,1.3__1,"‘Personal Data’ shall mean any information Processed by Processor in connection with the provision of the Processors’ Services under this Agreement relating to an identified or identifiable natural person ('Data Subject'); an identifiable person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to his physical, physiological, genetic, mental, economic, cultural or social identity of that person;",0.5018
R5,2.1.9,"Members of foundations, unions, associations and/or political originations 3. Categories of data",0.5474
R5,3.2__2,"Non-sensitive data (cf. GDPR article 6) of any kind including but not limited to contact information such as name, address, phone and/or mobile, gender, age, date of birth, preferences, employment position, family status etc.",0.4896
R5,3.4__2,Sensitive data (cf. GDPR article 9)*.,0.4722
R6,2.1.1,"Controller’s employees, board members and officers",0.5270
R6,2.1.2,"Controller’s customers, clients and other business partners",0.4658
R6,2.1.3,Citizens of Controller,0.5354
R6,2.1.4,"Students, pupils and other users of public and private institutions",0.5104
R6,2.1.5,Children,0.4925
R6,2.1.6,Patients and relatives,0.5056
R6,2.1.7,Private users,0.4913
R6,2.1.8,Business Users,0.4785
R6,2.1.9,"Members of foundations, unions, associations and/or political originations 3. Categories of data",0.5909
R7,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.6183
R7,3.3__1,The Parties agree that the technical and organisational measures and level of security set out in Appendix 2 are sufficient to comply with the Processor’s obligations set lout in this clause 3 at the time of the conclusion of this Agreement.,0.4512
R7,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.8828
R7,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.8397
R7,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.7019
R7,5.1,to Process the Personal Data in accordance with the security measures set out in Appendix 2;,0.5636
R8,6.2_ii,the likely consequences of the Personal Data Breach;,0.7397
R8,6.2_main,The aforementioned notification shall describe the nature of the Personal Data Breach including where possible:,0.8017
