rule_id,stage,detail,gt_sentence
R27,RECOVERED,in compliant.csv,"in the event that processor engages sub-processors for carrying out processing activities on behalf of the controller in accordance with appendix 5, the same data protection obligations as set out in this agreement shall be imposed on that sub-processor by way of a contract or other legal act under eu or national member state law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the processing will meet the requirements of this agreement."
R28,RECOVERED,in compliant.csv,processor shall remain liable to the controller for the performance of its sub- processor's obligations.
R29,RECOVERED,in compliant.csv,"in assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed."
R30,RECOVERED,in compliant.csv,"clause 2 of this agreement, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by union or member state law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;"
R32,RECOVERED,in compliant.csv,the processor agrees to implement appropriate technical and organisational measures in such a manner that the processing of the personal data will meet the requirements of the gdpr and other applicable national and eu data protection law and ensure the protection of the rights of the data subjects.
R32,RECOVERED,in compliant.csv,"taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:"
R33,RECOVERED,in compliant.csv,"the processor must ensure that the persons performing work for the processor and who have access to personal data, only process such personal data as instructed by the controller, unless processing is required under applicable eu law or national legislation."
R34,no_containment,GT 句子不在任何合約 source_text,to notify controller in the event of a personal data breach as set out in clause of this agreement;
R34,RECOVERED,in compliant.csv,processor will notify the controller without undue delay after becoming aware of a personal data breach.
R36,RECOVERED,in compliant.csv,"in the case of general written authorisation, the processor shall inform the controller of any intended changes concerning the addition or replacement of sub-processors, thereby giving the controller the opportunity to object to such changes."
R38,lost_at_6c,6c=Gap (未進 compliant.csv),a party may terminate the main agreement in the event of the other party's material breach of this agreement.
R38,lost_at_6c,6c=Gap (未進 compliant.csv),"where such breach is capable of being remedied, a party may only terminate the main agreement if the breaching party has not remedied such breach within 30 days after giving written notice of such breach and the consequences of failure to remedy the breach."
R42,lost_at_6a,no group intersection,"where necessary and taking into account the nature of the processing, to assist the controller in its compliance with an obligation to carry out a data protection impact assessment (""dpia"") and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the gdpr;"
R46,lost_at_6c,6c=Gap (未進 compliant.csv),the processor shall not be liable for loss or damages if caused by the controller's failure to comply with its obligations according to applicable eu or national data protection laws and regulations or this agreement.
