rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R5,sub_a_1.1_main,The Data Processor processes the following types of Personal Data in connection with its delivery of the Main Services:,
R5,sub_a_1.1_i,Ordinary contact information on relevant employees from the Data Controller.,
R5,sub_a_1.1_ii,"Users of the Main Services: names, telephone numbers, e-mails and user type.",
R5,sub_a_1.1_iii,Personal data provided by the users in connection with their use of the Main Services (these personal data are not seen or accessed by the Data Processor unless the Data Processor after the request hereof from the Data Controller assists with support and bug fixing). 2. Categories of data subjects,
R6,sub_a_2.1_main,The Data Processor processes Personal Data about the following categories of data subjects on behalf of the Data Controller:,
R6,sub_a_2.1_i,Customers,
R6,sub_a_2.1_ii,End-users,
R10,sub_b_1.1_main,The following Sub-Processors shall be considered approved by the data Controller at the time of entering into this Data Processor Agreement:,
R2,sub_b_1.1_i,"Hosting supplier: Hosters A/S, Lyskær 3, 2730 Herlev",
R2,sub_b_1.1_ii,"Supplier of data in case of add-on agreement: Bisnode A/S, Gyngemose Parkvej 50, 8. sal, 2860 Søborg",
R2,sub_b_1.1_iii,"MailJet, 13-13 bis Rue de l’Aubrac - 75012 Paris, France 2. New Sub-Processors",
R11,sub_b_2.1_main,The following Sub-Processors have been added and communicated to the Data Controller prior to the relevant sub-processing:,
R11,sub_b_2.1_i,[insert when relevant],
