rule_id,contract_clause_id,retrieved_sentence,retrieval_score
R16,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.7105
R17,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5920
R17,5.3,"where necessary and taking into account the nature of the Processing, to assist the Controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the Controller's obligation by law to respond to requests for exercising the Data Subjects’ rights laid down in chapter III of the GDPR;",0.7931
R18,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.6468
R18,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.6576
R19,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.8096
R2,7.1_i,the name and contact details of the Processor and any Sub-processors and where applicable their respective representatives and/or data protection officer;,0.5166
R22,5.4,"where necessary and taking into account the nature of the Processing, to assist the Controller in its compliance with an obligation to carry out a data protection impact assessment (“DPIA”) and prior consulting of supervisory authorities where required, cf. articles 35 and 36 of the GDPR;",0.8665
R23,1.2__3_5,"working days, immediately delete or export all of Controller’s survey project data and delete Controller’s organization (if any). Backups of all data are in any case kept by the Processor for thirty",0.4357
R23,9.1,"Processor will give Controller access to system functionality in order for the Controller to delete and/or return (i.e. export) any and all of Controller’s data including the Personal Data during the Agreement. Upon expiry of the Agreement the Processor will delete all of Controller’s data including the Personal Data, unless EU or national Member State law requires storage of the Personal Data.",0.7552
R24,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.8389
R25,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.7130
R26,5.7,"to allow for and contribute during normal business hours to reasonably necessary audits including inspections, conducted by an external qualified auditor mandated by the Controller, solely for the purpose of fulfilment of the Controller's obligations laid down in Article 28 of the GDPR and for accurately stipulated research questions in this connection provided that such external qualified auditor is subject to and bound by confidentiality obligations as stipulated in clause 12 of this Agreement;",0.8992
R26,7.2,The Processor shall make the records available to the Controller and the supervisory authority on request. 8. Costs for assistance and audits,0.6578
R27,10.2,"In the event that Processor engages Sub-processors for carrying out Processing activities on behalf of the Controller in accordance with Appendix 5, the same data protection obligations as set out in this Agreement shall be imposed on that Sub-processor by way of a contract or other legal act under EU or national Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the Processing will meet the requirements of this Agreement.",0.7331
R28,10.4,Processor shall remain liable to the Controller for the performance of its Sub- processor's obligations.,0.8898
R29,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5991
R3,14.5,"Notwithstanding termination of this Agreement according to this clause 14, the Agreement shall be force for as long as the Processor Processes Personal Data on behalf of the Controller for example in respect of the deletion processes described in Appendix 4. 15. Governing Law and amendments",0.5792
R30,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.7348
R32,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.8732
R32,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.6024
R32,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.5767
R32,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.8731
R33,12.4,"The Processor must ensure that the persons performing work for the Processor and who have access to Personal Data, only process such Personal Data as instructed by the Controller, unless processing is required under applicable EU law or national legislation. 13. Liability",0.8138
R33,2.1__1,"The Controller hereby authorises the Processor to Process the Personal Data on behalf of the Controller on the terms and conditions set out in this Agreement. The Processor shall Process the Personal Data only on documented instructions from the Controller. The Parties agree that this Agreement shall constitute the instructions as of the date of the Agreement. The Processor may – unless otherwise specifically is set out in the Agreement – apply all relevant means, including software, servers and IT systems.",0.8104
R33,5.2,"to Process Personal Data only in accordance with the instructions from the Controller, cf. clause 2 of this Agreement, including with regard to transfers of Personal Data to a Third Country or an international organisation, unless required to do so by Union or Member State law to which the Processor is subject; in such a case, the Processor shall inform the Controller of that legal requirement before Processing, unless that law prohibits such information on important grounds of public interest;",0.7326
R34,6.1,Processor will notify the Controller without undue delay after becoming aware of a Personal Data Breach.,0.8275
R36,10.3,"In the case of general written authorisation, the Processor shall inform the Controller of any intended changes concerning the addition or replacement of Sub-processors, thereby giving the Controller the opportunity to object to such changes. However, the Controller cannot object to any intended changes concerning the addition or replacement of Sub-processors, if the new Sub-processor provides sufficient guarantees with respect to implementation of appropriate technical and organizational measures in such a manner that the Processing will meet the requirements of the GDPR as outlined in this Agreement. If the Controller does not object to changes concerning the addition or replacement of Sub-processors within 30 days from the Processor’s notification of the intended changes, such changes shall be deemed to be accepted by the Controller.",0.6945
R4,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5386
R4,7.1_iii,the categories of Processing carried out on behalf of the Controller;,0.4793
R5,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5330
R5,3.2__2,"Non-sensitive data (cf. GDPR article 6) of any kind including but not limited to contact information such as name, address, phone and/or mobile, gender, age, date of birth, preferences, employment position, family status etc.",0.4896
R5,3.4__2,Sensitive data (cf. GDPR article 9)*.,0.4721
R6,2.1.1,"Controller’s employees, board members and officers",0.5270
R6,2.1.2,"Controller’s customers, clients and other business partners",0.4658
R6,2.1.3,Citizens of Controller,0.5355
R6,2.1.4,"Students, pupils and other users of public and private institutions",0.5101
R6,2.1.5,Children,0.4927
R6,2.1.6,Patients and relatives,0.5056
R6,2.1.7,Private users,0.4913
R6,2.1.8,Business Users,0.4785
R6,2.1.9,"Members of foundations, unions, associations and/or political originations 3. Categories of data",0.5234
R6,2.3,"The details of the Processing of Personal Data, and in particular the categories of Data Subjects, types of Personal Data and the purposes for which they are Processed, are specified in Appendix 1, which forms an integral part of the Agreement. 3. Security measures",0.5778
R7,3.1__1,The Processor agrees to implement appropriate technical and organisational measures in such a manner that the Processing of the Personal Data will meet the requirements of the GDPR and other applicable national and EU data protection law and ensure the protection of the rights of the Data Subjects.,0.5364
R7,3.5_c,the ability to restore the availability and access to Personal Data in a timely manner in the event of a physical or technical incident;,0.8828
R7,3.5_d,"a process for testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the Processing. 2. In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by Processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to Personal Data transmitted, stored or otherwise processed. 3. The Processor hosts the data, including Personal Data, of the Controller via Microsoft Cloud Azure. The online hosting Services are delivered from data centres solely situated within EU, in Ireland and the Netherlands. 4. Microsoft Azure platform provides the security measures as described on www.Processor.com. 5. Particular security measures to be taken out by the Processor under this Agreement are specified in detail on www.Processor.com (Processor's Security and Privacy Protection Policies). Appendix 3 Costs for assistance and audits This Appendix forms part of the Agreement. 1. In the event that Controller requires assistance from the Processor or any of the Processor’s Sub-processors pursuant to this Agreement, such assistance is charged as follows:",0.8795
R7,3.5_main,"Data relating to criminal convictions and offences (cf. GDPR art. 10). *Sensitive data includes: data revealing racial or ethnic origin, political opinions, religious and/or philosophical beliefs, trade union membership, processing of genetic data or biometric data for the purpose of uniquely identifying a natural person, data concerning health and/or data concerning a natural person's sex life or sexual orientation Please note that for the processing of sensitive data, explicit consent of the Data Subject is required. Appendix 2 Security of Processing This Appendix forms part of the Agreement. 1. Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the Controller and the Processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: (a) encryption of Personal Data when transmitted via public networks and in connection with remote access to Controller’s systems; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of Processing systems and Services;",0.7020
R7,7.1_v,a general description of the technical and organisational security measures as referred to in Appendix 2 and subsequent amendments thereto.,0.4461
R8,6.2_ii,the likely consequences of the Personal Data Breach;,0.7392
R8,6.2_iii,reasonable measures taken or proposed by the Processor to mitigate the consequences of the Personal Data Breach.,0.6605
R8,6.2_main,The aforementioned notification shall describe the nature of the Personal Data Breach including where possible:,0.8020
